SUMMARY OF ALL EPFL LABS (AS PER 13.01.2013),,,,,,,
,,,,,,,
key:,,,,,,,
,Labs,,,,,,
,Labs with interinstitutional link,,link indicated where possible,,,,
,,,,,,,
,,,,,,,
ABBREV,FULL NAME,,PI,"INTER
INSTITUTIONAL LINK",,,
,,,,,,,
SCHOOL OF BASIC SCIENCES,,,,,,,
,,,,,,,
LCH,Hydraulic Constructions Laboratory,,Schleiss Anton,,,,
LESO-PB,Solar Energy and Building Physics Laboratory,,Scartezzini Jean-Louis,,,,
LHE,Environmental Hydraulics Laboratory,,Ancey Christophe,,,,
LMR,Rock Mechanics Laboratory,,Zhao Jian,,,,
LMS,Soil Mechanics Laboratory - Chair gaz naturel Petrosvibri,,Laloui Lyesse,,,,
LSMS,Computational Solid Mechanics Laboratory,,Molinari Jean-François,,,,
MCS,Structural Maintenance and Safety Laboratory,,Brühwiler Eugen,,,,
,,,,,,,
INTER,Institute of Urban and Regional Sciences,,Thalmann Philippe,,,,
CEAT,Urban and Regional Planning Community,,Kaufmann Vincent,,,,
LAC,Chôros Laboratory,,Lévy Jacques,,,,
LASUR,Urban Sociology Laboratory,,Kaufmann Vincent,,,,
LUTS,Urban Transport Systems Laboratory,,Geroliminis Nikolaos,,,,
REME,Economics and Environmental Management Laboratory,,Thalmann Philippe,,,,
TRANSP-OR,Transportation and Mobility Laboratory,,Bierlaire Michel,,,,
,,,,,,,
IIE,Environmental Engineering Institute,,Rinaldo Andrea,,,,
APRL,Atmospheric Particle Research Laboratory,,Takahama Satoshi,,,,
CRYOS,Laboratory of Cryospheric Sciences,,Lehning Michael,,,,
DISAL,Distributed Intelligent Systems and Algorithms Laboratory,,Martinoli Alcherio,,,,
ECHO,Laboratory of Ecohydrology,,Rinaldo Andrea,,,,
ECOL,Ecological Engineering Laboratory,,Barry David Andrew,,,,
ECOS,Ecological Systems Laboratory,,Buttler Alexandre,,,,
EFLUM,Environmental Fluid Mechanics Laboratory,,Parlange Marc,,,,
EML,Environmental Microbiology Laboratory,,Bernier-Latmani Rizlan,,,,
LASIG,Geographic Information Systems Laboratory,,Golay François,,,,
LBE,Laboratory for Environmental Biotechnology,,Holliger Christof,,,,
LCE,Environmental Chemistry Laboratory,,Kohn Tamar,,,,
LGB,Laboratory for Biological Geochemistry,,Meibom Anders,,,,
LMCE,Environmental Chemistry Modeling Laboratory,,Arey Jeremy Samuel,,,,
LTE,Environmental Remote Sensing Laboratory,,Berne Alexis,,,,
LTQE,Laboratory for Water Quality and Treatment,,von Gunten Urs,,,,
TOPO,Geodetic Engineering Laboratory,,Merminod Bertrand,,,,
TOX,Laboratory of Environmental Toxicology,,Schirmer Kristin,,,,
UPHCE,Prof. Hering Group in Environmental Chemistry,,Hering Janet Gordon,,,,
UPSSC,Prof. Steffen Group in Cryosphere Sciences,,Steffen Konrad,,,,
UPWUEST,Prof. Wüest Group,,Wüest Alfred Johny,,,,
WIRE,Wind Engineering and Renewable Energy Laboratory,,Porté-Agel Fernando,,,,
,,,,,,,
,,,,,,,
SCHOOL OF COMPUTER AND COMMUNICATION SCIENCES,,,,,,,
,,,,,,,
IIF,Institute of Core Computing Science,,Guerraoui Rachid,,,,
LSIR,Distributed Information Systems Laboratory,,Aberer Karl,,,,
LIA,Artificial Intelligence Laboratory,,Faltings Boi,,,,
LPD,Distributed Programming Laboratory,,Guerraoui Rachid,,,,
LAMP1,Programming Methods Laboratory 1,,Odersky Martin,,,,
LSR,Distributed Systems Laboratory,,Schiper André,,,,
ALGO,Algorithmics Laboratory,,Shokrollahi Amin,,,,
LAMS,Systemic Modeling Laboratory,,Wegmann Alain,,,,
LABOS,Operating Systems Laboratory,,Zwaenepoel Willy,,,,
LACAL,Laboratory for cryptologic algorithms,,Lenstra Arjen,,,,
LCBB,Laboratory for Computational Biology and Bioinformatics,,Moret Bernard,,,,
DSLAB,Dependable Systems Laboratory,,Candea George,,,,
LARA,Laboratory for Automated Reasoning and Analysis,,Kuncak Viktor,,,,
ARNI,Laboratory of Algorithmic Research on Networked Information,,Fragouli Christina,,,,
DIAS,Data-Intensive Applications and Systems Laboratory,,Ailamaki Anastasia,,,,
DATA,Data Analysis Theory and Applications Laboratory,,Koch Christoph,,,,
RISD,Rigorous System Design Laboratory,,Sifakis Joseph,,,,
NAL,Network Architecture Laboratory,,Argyraki Katerina,,,,
THL1,Theory of Computation Laboratory 1,,Madry Aleksander,,,,
THL2,Theory of Computation Laboratory 2,,Svensson Ola Nils Anders,,,,
,,,,,,,
ISIM,Institute of Computing and Multimedia Systems,,Fua Pascal,,,,
LCN1,Computational Neuroscience Laboratory (IC/SV),,Gerstner Wulfram,,,,
LSP,Peripheral Systems Laboratory,,Hersch Roger,,,,
LAP,Processor Architecture Laboratory,,Ienne Paolo,,,,
LTI,Computer Networking Laboratory,,Petitpierre Claude,,,,
CVLAB,Computer Vision Laboratory,,Fua Pascal,,,,
LSI1,Integrated Systems Laboratory (IC/STI),,De Micheli Giovanni,,,,
LDM1,Media and Design Laboratory (IC/ENAC),,Huang Jeffrey,,,,
PARSA,Parallel Systems Architecture Laboratory,,Falsafi Babak,,,,
LGG,Computer Graphics and Geometry Laboratory,,Pauly Mark,,,,
LAPMAL,Laboratory for Probabilistic Machine Learning,,Seeger Matthias,,,,
,,,,,,,
ISC,Institute of Communication Systems,,Urbanke Rüdiger,,,,
LCA1,Computer Communications and Applications Laboratory 1,,Hubaux Jean-Pierre,,,,
LCA2,Computer Communications and Applications Laboratory 2,,Le Boudec Jean-Yves,,,,
LCA3,Computer Communications and Applications Laboratory 3,,Thiran Patrick,,,,
LCA4,Computer Communications and Applications Laboratory 4,,Grossglauser Matthias,,,,
LCM,Mobile Communications Laboratory,,Rimoldi Bixio,,,,
LCAV,Audiovisual Communications Laboratory,,Vetterli Martin,,,,
LTHI,Information Theory Laboratory,,Telatar Emre,,,,
LTHC,Communication Theory Laboratory,,Urbanke Rüdiger,,,,
LASEC,Security and Cryptography Laboratory,,Vaudenay Serge,,,,
LINX,Laboratory for Information in Networked Systems,,Gastpar Michael C.,,,,
,,,,,,,
SCHOOL OF LIFE SCIENCES,,,,,,,
,,,,,,,
BMI,Brain Mind Institute,,Sandi Carmen,,,,
CHCN,Sandoz Family Foundation Chair in Neural Coding end Neuroprosthesis,,Nicolelis Miguel,,,,
CMSN,Merck Serono Chair in Neuroscience,,Fraering Patrick,,,,
LCN2,Computational Neuroscience Laboratory (SV/IC),,Gerstner Wulfram,,,,
LEN,Neurodegenerative Studies Laboratory,,Aebischer Patrick,,,,
LGC,Behavioral Genetics Laboratory,,Sandi Carmen,,,,
LMNN,Laboratory of Molecular Neurobiology and Neuroproteomics,,Lashuel Hilal,,,,
LNCO,Foundation Bertarelli Chair in Cognitive Neuroprosthetics,,Blanke Olaf,,,,
LNDC,Laboratory of Neuroenergetics and Cellular Dynamics,,Magistretti Pierre,,,,
LNMC,Neural Microcircuitry Laboratory,,Markram Henry,,,,
LPSY,Psychophysics Laboratory,,Herzog Michael,,,,
LSENS,Sensory Processing Laboratory,,Petersen Carl,,,,
